simulation,cv_r2_weight,cv_sd_weight,train_cv_gap_weight
820,0.605624,0.100256,0.294120
821,0.641726,0.075246,0.283027
822,0.631433,0.064442,0.304126
823,0.523183,0.325121,0.151697
824,0.650305,0.048467,0.301228
825,0.615398,0.142067,0.242534
826,0.542290,0.157203,0.300507
827,0.675801,0.198556,0.125644
828,0.533854,0.311461,0.154685
829,0.507048,0.176328,0.316624
830,0.536471,0.202726,0.260803
831,0.606758,0.101146,0.292096
832,0.572795,0.171553,0.255652
833,0.633169,0.308248,0.058583
834,0.529488,0.314624,0.155889
835,0.769746,0.039540,0.190713
836,0.576182,0.356061,0.067757
837,0.764518,0.157420,0.078062
838,0.638164,0.066931,0.294905
839,0.544504,0.255796,0.199700
840,0.666739,0.266256,0.067006
841,0.548920,0.108421,0.342659
842,0.766541,0.229001,0.004458
843,0.720364,0.120780,0.158855
844,0.762064,0.178929,0.059007
845,0.573567,0.079242,0.347191
846,0.532903,0.317859,0.149237
847,0.558774,0.059589,0.381637
848,0.662093,0.168351,0.169556
849,0.578671,0.083647,0.337681
850,0.668553,0.259587,0.071859
851,0.512233,0.004832,0.482935
852,0.712055,0.127204,0.160741
853,0.539389,0.179067,0.281544
854,0.622880,0.318144,0.058976
855,0.662698,0.178364,0.158938
856,0.719689,0.044227,0.236083
857,0.751822,0.119332,0.128846
858,0.758819,0.188062,0.053119
859,0.573254,0.003411,0.423335
860,0.662084,0.003261,0.334655
861,0.686603,0.107308,0.206089
862,0.629706,0.037993,0.332301
863,0.649927,0.065532,0.284541
864,0.516093,0.421405,0.062501
865,0.515793,0.354032,0.130176
866,0.694534,0.175763,0.129703
867,0.605757,0.206075,0.188168
868,0.501471,0.166911,0.331618
869,0.710676,0.073805,0.215519
870,0.530940,0.126417,0.342643
871,0.681256,0.039081,0.279663
872,0.610804,0.205583,0.183613
873,0.677065,0.300901,0.022035
874,0.734477,0.061071,0.204452
875,0.545573,0.155632,0.298794
876,0.618171,0.168827,0.213002
877,0.509948,0.112724,0.377328
878,0.532434,0.443860,0.023706
879,0.623414,0.122542,0.254044
880,0.766038,0.145663,0.088299
881,0.705498,0.062902,0.231600
882,0.694643,0.039076,0.266280
883,0.616907,0.262313,0.120779
884,0.519930,0.053512,0.426558
885,0.679212,0.103022,0.217767
886,0.727629,0.118662,0.153709
887,0.643157,0.032213,0.324631
888,0.694389,0.109421,0.196190
889,0.686823,0.112828,0.200349
890,0.566784,0.203839,0.229377
891,0.641525,0.322868,0.035607
892,0.549810,0.115389,0.334800
893,0.747554,0.080557,0.171889
894,0.583968,0.245433,0.170599
895,0.671282,0.234811,0.093907
896,0.525887,0.358369,0.115744
897,0.755377,0.192353,0.052270
898,0.644321,0.081721,0.273959
899,0.533152,0.399971,0.066877
900,0.722578,0.157444,0.119977
901,0.574706,0.163374,0.261919
902,0.641124,0.225206,0.133669
903,0.758546,0.208414,0.033040
904,0.590564,0.029932,0.379504
905,0.574133,0.146771,0.279097
906,0.654151,0.273546,0.072304
907,0.662520,0.257080,0.080400
908,0.507542,0.239387,0.253070
909,0.795014,0.141553,0.063433
910,0.540693,0.239348,0.219960
911,0.702209,0.066715,0.231076
912,0.672645,0.258381,0.068975
913,0.533226,0.211659,0.255115
914,0.500969,0.075653,0.423378
915,0.589523,0.057083,0.353394
916,0.644117,0.177392,0.178490
917,0.695553,0.231129,0.073318
918,0.703739,0.053259,0.243002
919,0.543450,0.067085,0.389465
920,0.717564,0.133831,0.148604
921,0.553155,0.004628,0.442217
922,0.533690,0.433241,0.033068
923,0.560640,0.040397,0.398963
924,0.661923,0.124239,0.213839
925,0.793180,0.077162,0.129657
926,0.551103,0.277009,0.171887
927,0.594307,0.240547,0.165146
928,0.635252,0.167987,0.196761
929,0.550718,0.175533,0.273749
930,0.532361,0.098027,0.369611
931,0.586323,0.169325,0.244351
932,0.799361,0.116746,0.083893
933,0.560516,0.355194,0.084290
934,0.720122,0.118015,0.161862
935,0.646865,0.307455,0.045680
936,0.517908,0.068221,0.413871
937,0.521265,0.188405,0.290330
938,0.665327,0.125463,0.209210
939,0.553226,0.006596,0.440178
940,0.542185,0.211092,0.246723
941,0.555571,0.322679,0.121750
942,0.769035,0.180608,0.050357
943,0.756994,0.241755,0.001252
944,0.555616,0.323262,0.121122
945,0.599852,0.083732,0.316416
946,0.531520,0.383511,0.084970
947,0.755882,0.088305,0.155813
948,0.586150,0.302641,0.111208
949,0.791155,0.153696,0.055149
950,0.526811,0.429421,0.043768
951,0.754067,0.088866,0.157068
952,0.679326,0.316913,0.003761
953,0.676064,0.245387,0.078550
954,0.557001,0.150696,0.292303
955,0.624000,0.246265,0.129736
956,0.519753,0.049649,0.430597
957,0.669303,0.234619,0.096078
958,0.629922,0.336516,0.033563
959,0.658856,0.077813,0.263331
960,0.791116,0.054420,0.154464
961,0.608988,0.049953,0.341059
962,0.501070,0.220836,0.278094
963,0.610751,0.337211,0.052038
964,0.771282,0.018377,0.210341
965,0.513012,0.284568,0.202419
966,0.563063,0.167223,0.269715
967,0.539738,0.365167,0.095095
968,0.699928,0.178045,0.122027
969,0.586292,0.364365,0.049344
970,0.518552,0.303207,0.178241
971,0.688570,0.013150,0.298281
972,0.682993,0.298486,0.018522
973,0.679539,0.220587,0.099873
974,0.705354,0.160734,0.133912
975,0.589414,0.173288,0.237298
976,0.765551,0.146282,0.088168
977,0.688134,0.212557,0.099309
978,0.633730,0.125233,0.241037
979,0.772559,0.078349,0.149091
980,0.791619,0.172952,0.035430
981,0.634256,0.001956,0.363789
982,0.625443,0.007590,0.366967
983,0.684620,0.219800,0.095580
984,0.766937,0.198601,0.034461
985,0.676949,0.098648,0.224404
986,0.520778,0.222752,0.256470
987,0.610657,0.143765,0.245577
988,0.627570,0.334666,0.037764
989,0.714076,0.120560,0.165364
990,0.522091,0.323016,0.154893
991,0.603120,0.139609,0.257271
992,0.690440,0.275065,0.034495
993,0.522688,0.085409,0.391903
994,0.515936,0.085922,0.398142
995,0.771195,0.204855,0.023951
996,0.731081,0.122101,0.146818
997,0.582433,0.110088,0.307479
998,0.606503,0.024539,0.368958
999,0.552253,0.316708,0.131040
1000,0.578415,0.394497,0.027089
